"id","providerId","utcStartTime","status","compSeason.id","compSeason.providerId","compSeason.name","compSeason.shortName","compSeason.currentRoundNumber","round.id","round.providerId","round.abbreviation","round.name","round.roundNumber","round.byes","home.team.id","home.team.providerId","home.team.name","home.team.abbreviation","home.team.nickname","home.team.teamType","home.team.club.id","home.team.club.providerId","home.team.club.name","home.team.club.abbreviation","home.team.club.nickname","away.team.id","away.team.providerId","away.team.name","away.team.abbreviation","away.team.nickname","away.team.teamType","away.team.club.id","away.team.club.providerId","away.team.club.name","away.team.club.abbreviation","away.team.club.nickname","venue.id","venue.providerId","venue.name","venue.abbreviation","venue.location","venue.state","venue.timezone","venue.landOwner","metadata.ticket_link","compSeason.year"
6965,"CD_M20250140001","2025-03-06T08:50:00.000+0000","SCHEDULED",73,"CD_S2025014","2025 Toyota AFL Premiership","Premiership",0,1146,"CD_R202501400","OR","Opening Round",0,"c(1, 5, 6, 7, 8, 11, 14, 16, 17, 18), c(""CD_T10"", ""CD_T30"", ""CD_T100"", ""CD_T110"", ""CD_T140"", ""CD_T130"", ""CD_T60"", ""CD_T120"", ""CD_T90"", ""CD_T150""), c(""Adelaide Crows"", ""Carlton"", ""North Melbourne"", ""Port Adelaide"", ""Western Bulldogs"", ""St Kilda"", ""Fremantle"", ""Richmond"", ""Melbourne"", ""West Coast Eagles""), c(""ADEL"", ""CARL"", ""NMFC"", ""PORT"", ""WB"", ""STK"", ""FRE"", ""RICH"", ""MELB"", ""WCE""), c(""Crows"", ""Blues"", ""Kangaroos"", ""Power"", ""Bulldogs"", ""Saints"", ""Dockers"", ""Tigers"", ""Demons"", ""Eagles""), c(""MEN"", ""MEN"", ""MEN"", ""MEN"", ""MEN"", ""MEN"", ""MEN"", ""MEN"", ""MEN"", ""MEN""), c(3, 1, 20, 19, 25, 21, 6, 22, 14, 23), c(""CD_O1"", ""CD_O5"", ""CD_O20"", ""CD_O24"", ""CD_O31"", ""CD_O27"", ""CD_O10"", ""CD_O25"", ""CD_O18"", ""CD_O30""), c(""Adelaide Crows"", ""Carlton"", ""North Melbourne"", ""Port Adelaide"", ""Western Bulldogs"", ""St Kilda"", ""Fremantle"", ""Richmond"", ""Melbourne"", ""West Coast Eagles""), c(""Crows"", ""Blues"", ""Kangaroos"", ""Power"", ""Bulldogs"", ""Saints"", ""Dockers"", ""Tigers"", ""Demons"", ""Eagles""), c(""Crows"", ""Blues"", ""Kangaroos"", ""Power"", ""Bulldogs"", ""Saints"", ""Dockers"", ""Tigers"", ""Demons"", ""Eagles"")",2,"CD_T20","Brisbane Lions","BL","Lions","MEN",13,"CD_O3","Brisbane Lions","Lions","Lions",10,"CD_T70","Geelong Cats","GEEL","Cats","MEN",15,"CD_O11","Geelong Cats","Cats","Cats",22,"CD_V20","Gabba","G","Brisbane","QLD","Australia/Brisbane","Yuggera - Toorabul","https://www.ticketmaster.com.au/brisbane-lions-v-geelong-cats-woolloongabba-06-03-2025/event/1300617AA8AF378C",2025
6966,"CD_M20250140002","2025-03-07T08:40:00.000+0000","SCHEDULED",73,"CD_S2025014","2025 Toyota AFL Premiership","Premiership",0,1146,"CD_R202501400","OR","Opening Round",0,"c(1, 5, 6, 7, 8, 11, 14, 16, 17, 18), c(""CD_T10"", ""CD_T30"", ""CD_T100"", ""CD_T110"", ""CD_T140"", ""CD_T130"", ""CD_T60"", ""CD_T120"", ""CD_T90"", ""CD_T150""), c(""Adelaide Crows"", ""Carlton"", ""North Melbourne"", ""Port Adelaide"", ""Western Bulldogs"", ""St Kilda"", ""Fremantle"", ""Richmond"", ""Melbourne"", ""West Coast Eagles""), c(""ADEL"", ""CARL"", ""NMFC"", ""PORT"", ""WB"", ""STK"", ""FRE"", ""RICH"", ""MELB"", ""WCE""), c(""Crows"", ""Blues"", ""Kangaroos"", ""Power"", ""Bulldogs"", ""Saints"", ""Dockers"", ""Tigers"", ""Demons"", ""Eagles""), c(""MEN"", ""MEN"", ""MEN"", ""MEN"", ""MEN"", ""MEN"", ""MEN"", ""MEN"", ""MEN"", ""MEN""), c(3, 1, 20, 19, 25, 21, 6, 22, 14, 23), c(""CD_O1"", ""CD_O5"", ""CD_O20"", ""CD_O24"", ""CD_O31"", ""CD_O27"", ""CD_O10"", ""CD_O25"", ""CD_O18"", ""CD_O30""), c(""Adelaide Crows"", ""Carlton"", ""North Melbourne"", ""Port Adelaide"", ""Western Bulldogs"", ""St Kilda"", ""Fremantle"", ""Richmond"", ""Melbourne"", ""West Coast Eagles""), c(""Crows"", ""Blues"", ""Kangaroos"", ""Power"", ""Bulldogs"", ""Saints"", ""Dockers"", ""Tigers"", ""Demons"", ""Eagles""), c(""Crows"", ""Blues"", ""Kangaroos"", ""Power"", ""Bulldogs"", ""Saints"", ""Dockers"", ""Tigers"", ""Demons"", ""Eagles"")",13,"CD_T160","Sydney Swans","SYD","Swans","MEN",24,"CD_O28","Sydney Swans","Swans","Swans",9,"CD_T80","Hawthorn","HAW","Hawks","MEN",16,"CD_O17","Hawthorn","Hawks","Hawks",9,"CD_V60","SCG","SCG","Sydney","NSW","Australia/Sydney","Gadigal","https://premier.ticketek.com.au/events/SWANSOP25/venues/SCG/performances/ESWA0000025Z/tickets",2025
6967,"CD_M20250140003","2025-03-08T06:15:00.000+0000","SCHEDULED",73,"CD_S2025014","2025 Toyota AFL Premiership","Premiership",0,1146,"CD_R202501400","OR","Opening Round",0,"c(1, 5, 6, 7, 8, 11, 14, 16, 17, 18), c(""CD_T10"", ""CD_T30"", ""CD_T100"", ""CD_T110"", ""CD_T140"", ""CD_T130"", ""CD_T60"", ""CD_T120"", ""CD_T90"", ""CD_T150""), c(""Adelaide Crows"", ""Carlton"", ""North Melbourne"", ""Port Adelaide"", ""Western Bulldogs"", ""St Kilda"", ""Fremantle"", ""Richmond"", ""Melbourne"", ""West Coast Eagles""), c(""ADEL"", ""CARL"", ""NMFC"", ""PORT"", ""WB"", ""STK"", ""FRE"", ""RICH"", ""MELB"", ""WCE""), c(""Crows"", ""Blues"", ""Kangaroos"", ""Power"", ""Bulldogs"", ""Saints"", ""Dockers"", ""Tigers"", ""Demons"", ""Eagles""), c(""MEN"", ""MEN"", ""MEN"", ""MEN"", ""MEN"", ""MEN"", ""MEN"", ""MEN"", ""MEN"", ""MEN""), c(3, 1, 20, 19, 25, 21, 6, 22, 14, 23), c(""CD_O1"", ""CD_O5"", ""CD_O20"", ""CD_O24"", ""CD_O31"", ""CD_O27"", ""CD_O10"", ""CD_O25"", ""CD_O18"", ""CD_O30""), c(""Adelaide Crows"", ""Carlton"", ""North Melbourne"", ""Port Adelaide"", ""Western Bulldogs"", ""St Kilda"", ""Fremantle"", ""Richmond"", ""Melbourne"", ""West Coast Eagles""), c(""Crows"", ""Blues"", ""Kangaroos"", ""Power"", ""Bulldogs"", ""Saints"", ""Dockers"", ""Tigers"", ""Demons"", ""Eagles""), c(""Crows"", ""Blues"", ""Kangaroos"", ""Power"", ""Bulldogs"", ""Saints"", ""Dockers"", ""Tigers"", ""Demons"", ""Eagles"")",4,"CD_T1000","Gold Coast SUNS","GCFC","SUNS","MEN",9,"CD_O14","Gold Coast SUNS","SUNS","SUNS",12,"CD_T50","Essendon","ESS","Bombers","MEN",10,"CD_O9","Essendon","Bombers","Bombers",11,"CD_V81","People First Stadium","PFS","Gold Coast","QLD","Australia/Brisbane","Yugambeh","https://premier.ticketek.com.au/events/SUNSOP25/venues/CST/performances/EGCS0000025Z/tickets",2025
6968,"CD_M20250140004","2025-03-09T04:20:00.000+0000","SCHEDULED",73,"CD_S2025014","2025 Toyota AFL Premiership","Premiership",0,1146,"CD_R202501400","OR","Opening Round",0,"c(1, 5, 6, 7, 8, 11, 14, 16, 17, 18), c(""CD_T10"", ""CD_T30"", ""CD_T100"", ""CD_T110"", ""CD_T140"", ""CD_T130"", ""CD_T60"", ""CD_T120"", ""CD_T90"", ""CD_T150""), c(""Adelaide Crows"", ""Carlton"", ""North Melbourne"", ""Port Adelaide"", ""Western Bulldogs"", ""St Kilda"", ""Fremantle"", ""Richmond"", ""Melbourne"", ""West Coast Eagles""), c(""ADEL"", ""CARL"", ""NMFC"", ""PORT"", ""WB"", ""STK"", ""FRE"", ""RICH"", ""MELB"", ""WCE""), c(""Crows"", ""Blues"", ""Kangaroos"", ""Power"", ""Bulldogs"", ""Saints"", ""Dockers"", ""Tigers"", ""Demons"", ""Eagles""), c(""MEN"", ""MEN"", ""MEN"", ""MEN"", ""MEN"", ""MEN"", ""MEN"", ""MEN"", ""MEN"", ""MEN""), c(3, 1, 20, 19, 25, 21, 6, 22, 14, 23), c(""CD_O1"", ""CD_O5"", ""CD_O20"", ""CD_O24"", ""CD_O31"", ""CD_O27"", ""CD_O10"", ""CD_O25"", ""CD_O18"", ""CD_O30""), c(""Adelaide Crows"", ""Carlton"", ""North Melbourne"", ""Port Adelaide"", ""Western Bulldogs"", ""St Kilda"", ""Fremantle"", ""Richmond"", ""Melbourne"", ""West Coast Eagles""), c(""Crows"", ""Blues"", ""Kangaroos"", ""Power"", ""Bulldogs"", ""Saints"", ""Dockers"", ""Tigers"", ""Demons"", ""Eagles""), c(""Crows"", ""Blues"", ""Kangaroos"", ""Power"", ""Bulldogs"", ""Saints"", ""Dockers"", ""Tigers"", ""Demons"", ""Eagles"")",15,"CD_T1010","GWS GIANTS","GWS","GIANTS","MEN",5,"CD_O16","GWS GIANTS","GIANTS","GIANTS",3,"CD_T40","Collingwood","COLL","Magpies","MEN",12,"CD_O6","Collingwood","Magpies","Magpies",8,"CD_V43","ENGIE Stadium","ES","Sydney","NSW","Australia/Sydney","Wangal","https://www.ticketmaster.com.au/gws-giants-v-collingwood-olympic-park-09-03-2025/event/13006179B54C3500",2025
6972,"CD_M20250140101","2025-03-13T08:30:00.000+0000","SCHEDULED",73,"CD_S2025014","2025 Toyota AFL Premiership","Premiership",0,1147,"CD_R202501401","Rd 1","Round 1",1,"",16,"CD_T120","Richmond","RICH","Tigers","MEN",22,"CD_O25","Richmond","Tigers","Tigers",5,"CD_T30","Carlton","CARL","Blues","MEN",1,"CD_O5","Carlton","Blues","Blues",13,"CD_V40","MCG","MCG","Melbourne","VIC","Australia/Melbourne","Wurundjeri","https://hotshow4.ticketek.com.au/shows/show.aspx?sh=RICHM0125",2025
6971,"CD_M20250140102","2025-03-14T08:40:00.000+0000","SCHEDULED",73,"CD_S2025014","2025 Toyota AFL Premiership","Premiership",0,1147,"CD_R202501401","Rd 1","Round 1",1,"",9,"CD_T80","Hawthorn","HAW","Hawks","MEN",16,"CD_O17","Hawthorn","Hawks","Hawks",12,"CD_T50","Essendon","ESS","Bombers","MEN",10,"CD_O9","Essendon","Bombers","Bombers",13,"CD_V40","MCG","MCG","Melbourne","VIC","Australia/Melbourne","Wurundjeri","https://premier.ticketek.com.au/shows/show.aspx?sh=HAWTH0125",2025
6970,"CD_M20250140103","2025-03-15T02:20:00.000+0000","SCHEDULED",73,"CD_S2025014","2025 Toyota AFL Premiership","Premiership",0,1147,"CD_R202501401","Rd 1","Round 1",1,"",10,"CD_T70","Geelong Cats","GEEL","Cats","MEN",15,"CD_O11","Geelong Cats","Cats","Cats",14,"CD_T60","Fremantle","FRE","Dockers","MEN",6,"CD_O10","Fremantle","Dockers","Dockers",15,"CD_V30","GMHBA Stadium","GMHBA","Geelong","VIC","Australia/Melbourne","Wadawurrung","https://www.ticketmaster.com.au/geelong-cats-v-fremantle-south-geelong-15-03-2025/event/25006244842D0948",2025
6969,"CD_M20250140104","2025-03-15T05:15:00.000+0000","SCHEDULED",73,"CD_S2025014","2025 Toyota AFL Premiership","Premiership",0,1147,"CD_R202501401","Rd 1","Round 1",1,"",13,"CD_T160","Sydney Swans","SYD","Swans","MEN",24,"CD_O28","Sydney Swans","Swans","Swans",2,"CD_T20","Brisbane Lions","BL","Lions","MEN",13,"CD_O3","Brisbane Lions","Lions","Lions",9,"CD_V60","SCG","SCG","Sydney","NSW","Australia/Sydney","Gadigal","https://hotshow1.ticketek.com.au/shows/show.aspx?sh=SWANLION25",2025
6973,"CD_M20250140105","2025-03-15T08:35:00.000+0000","SCHEDULED",73,"CD_S2025014","2025 Toyota AFL Premiership","Premiership",0,1147,"CD_R202501401","Rd 1","Round 1",1,"",8,"CD_T140","Western Bulldogs","WB","Bulldogs","MEN",25,"CD_O31","Western Bulldogs","Bulldogs","Bulldogs",6,"CD_T100","North Melbourne","NMFC","Kangaroos","MEN",20,"CD_O20","North Melbourne","Kangaroos","Kangaroos",3,"CD_V190","Marvel Stadium","MRVL","Melbourne","VIC","Australia/Melbourne","Wurundjeri","https://www.ticketmaster.com.au/western-bulldogs-v-north-melbourne-docklands-15-03-2025/event/25006237B5FF1221",2025
6974,"CD_M20250140106","2025-03-15T08:35:00.000+0000","SCHEDULED",73,"CD_S2025014","2025 Toyota AFL Premiership","Premiership",0,1147,"CD_R202501401","Rd 1","Round 1",1,"",3,"CD_T40","Collingwood","COLL","Magpies","MEN",12,"CD_O6","Collingwood","Magpies","Magpies",7,"CD_T110","Port Adelaide","PORT","Power","MEN",19,"CD_O24","Port Adelaide","Power","Power",13,"CD_V40","MCG","MCG","Melbourne","VIC","Australia/Melbourne","Wurundjeri","https://premier.ticketek.com.au/shows/Show.aspx?sh=COLLI0125",2025
6976,"CD_M20250140107","2025-03-16T01:35:00.000+0000","SCHEDULED",73,"CD_S2025014","2025 Toyota AFL Premiership","Premiership",0,1147,"CD_R202501401","Rd 1","Round 1",1,"",1,"CD_T10","Adelaide Crows","ADEL","Crows","MEN",3,"CD_O1","Adelaide Crows","Crows","Crows",11,"CD_T130","St Kilda","STK","Saints","MEN",21,"CD_O27","St Kilda","Saints","Saints",31,"CD_V6","Adelaide Oval","AO","Adelaide","SA","Australia/Adelaide","Kaurna","https://premier.ticketek.com.au/shows/show.aspx?sh=ADELC0125",2025
6975,"CD_M20250140108","2025-03-16T04:20:00.000+0000","SCHEDULED",73,"CD_S2025014","2025 Toyota AFL Premiership","Premiership",0,1147,"CD_R202501401","Rd 1","Round 1",1,"",17,"CD_T90","Melbourne","MELB","Demons","MEN",14,"CD_O18","Melbourne","Demons","Demons",15,"CD_T1010","GWS GIANTS","GWS","GIANTS","MEN",5,"CD_O16","GWS GIANTS","GIANTS","GIANTS",13,"CD_V40","MCG","MCG","Melbourne","VIC","Australia/Melbourne","Wurundjeri","https://hotshow4.ticketek.com.au/shows/show.aspx?sh=MELBO0125",2025
6977,"CD_M20250140109","2025-03-16T07:10:00.000+0000","SCHEDULED",73,"CD_S2025014","2025 Toyota AFL Premiership","Premiership",0,1147,"CD_R202501401","Rd 1","Round 1",1,"",18,"CD_T150","West Coast Eagles","WCE","Eagles","MEN",23,"CD_O30","West Coast Eagles","Eagles","Eagles",4,"CD_T1000","Gold Coast SUNS","GCFC","SUNS","MEN",9,"CD_O14","Gold Coast SUNS","SUNS","SUNS",65,"CD_V2925","Optus Stadium","OS","Perth","WA","Australia/Perth","Whadjuk","https://www.ticketmaster.com.au/west-coast-eagles-v-gold-coast-burswood-16-03-2025/event/25006244F6C219B9",2025
6978,"CD_M20250140201","2025-03-20T08:30:00.000+0000","SCHEDULED",73,"CD_S2025014","2025 Toyota AFL Premiership","Premiership",0,1148,"CD_R202501402","Rd 2","Round 2",2,"c(4, 15), c(""CD_T1000"", ""CD_T1010""), c(""Gold Coast SUNS"", ""GWS GIANTS""), c(""GCFC"", ""GWS""), c(""SUNS"", ""GIANTS""), c(""MEN"", ""MEN""), c(9, 5), c(""CD_O14"", ""CD_O16""), c(""Gold Coast SUNS"", ""GWS GIANTS""), c(""SUNS"", ""GIANTS""), c(""SUNS"", ""GIANTS"")",5,"CD_T30","Carlton","CARL","Blues","MEN",1,"CD_O5","Carlton","Blues","Blues",9,"CD_T80","Hawthorn","HAW","Hawks","MEN",16,"CD_O17","Hawthorn","Hawks","Hawks",13,"CD_V40","MCG","MCG","Melbourne","VIC","Australia/Melbourne","Wurundjeri","https://premier.ticketek.com.au/shows/show.aspx?sh=CARLT0225",2025
6979,"CD_M20250140202","2025-03-21T08:40:00.000+0000","SCHEDULED",73,"CD_S2025014","2025 Toyota AFL Premiership","Premiership",0,1148,"CD_R202501402","Rd 2","Round 2",2,"c(4, 15), c(""CD_T1000"", ""CD_T1010""), c(""Gold Coast SUNS"", ""GWS GIANTS""), c(""GCFC"", ""GWS""), c(""SUNS"", ""GIANTS""), c(""MEN"", ""MEN""), c(9, 5), c(""CD_O14"", ""CD_O16""), c(""Gold Coast SUNS"", ""GWS GIANTS""), c(""SUNS"", ""GIANTS""), c(""SUNS"", ""GIANTS"")",8,"CD_T140","Western Bulldogs","WB","Bulldogs","MEN",25,"CD_O31","Western Bulldogs","Bulldogs","Bulldogs",3,"CD_T40","Collingwood","COLL","Magpies","MEN",12,"CD_O6","Collingwood","Magpies","Magpies",13,"CD_V40","MCG","MCG","Melbourne","VIC","Australia/Melbourne","Wurundjeri","https://premier.ticketek.com.au/shows/show.aspx?sh=WESTE0225",2025
6981,"CD_M20250140203","2025-03-22T02:20:00.000+0000","SCHEDULED",73,"CD_S2025014","2025 Toyota AFL Premiership","Premiership",0,1148,"CD_R202501402","Rd 2","Round 2",2,"c(4, 15), c(""CD_T1000"", ""CD_T1010""), c(""Gold Coast SUNS"", ""GWS GIANTS""), c(""GCFC"", ""GWS""), c(""SUNS"", ""GIANTS""), c(""MEN"", ""MEN""), c(9, 5), c(""CD_O14"", ""CD_O16""), c(""Gold Coast SUNS"", ""GWS GIANTS""), c(""SUNS"", ""GIANTS""), c(""SUNS"", ""GIANTS"")",12,"CD_T50","Essendon","ESS","Bombers","MEN",10,"CD_O9","Essendon","Bombers","Bombers",1,"CD_T10","Adelaide Crows","ADEL","Crows","MEN",3,"CD_O1","Adelaide Crows","Crows","Crows",13,"CD_V40","MCG","MCG","Melbourne","VIC","Australia/Melbourne","Wurundjeri","https://hotshow4.ticketek.com.au/shows/show.aspx?sh=ESSEN0225",2025
6980,"CD_M20250140204","2025-03-22T05:15:00.000+0000","SCHEDULED",73,"CD_S2025014","2025 Toyota AFL Premiership","Premiership",0,1148,"CD_R202501402","Rd 2","Round 2",2,"c(4, 15), c(""CD_T1000"", ""CD_T1010""), c(""Gold Coast SUNS"", ""GWS GIANTS""), c(""GCFC"", ""GWS""), c(""SUNS"", ""GIANTS""), c(""MEN"", ""MEN""), c(9, 5), c(""CD_O14"", ""CD_O16""), c(""Gold Coast SUNS"", ""GWS GIANTS""), c(""SUNS"", ""GIANTS""), c(""SUNS"", ""GIANTS"")",7,"CD_T110","Port Adelaide","PORT","Power","MEN",19,"CD_O24","Port Adelaide","Power","Power",16,"CD_T120","Richmond","RICH","Tigers","MEN",22,"CD_O25","Richmond","Tigers","Tigers",31,"CD_V6","Adelaide Oval","AO","Adelaide","SA","Australia/Adelaide","Kaurna","https://premier.ticketek.com.au/shows/Show.aspx?sh=PORTA0225",2025
6982,"CD_M20250140205","2025-03-22T08:35:00.000+0000","SCHEDULED",73,"CD_S2025014","2025 Toyota AFL Premiership","Premiership",0,1148,"CD_R202501402","Rd 2","Round 2",2,"c(4, 15), c(""CD_T1000"", ""CD_T1010""), c(""Gold Coast SUNS"", ""GWS GIANTS""), c(""GCFC"", ""GWS""), c(""SUNS"", ""GIANTS""), c(""MEN"", ""MEN""), c(9, 5), c(""CD_O14"", ""CD_O16""), c(""Gold Coast SUNS"", ""GWS GIANTS""), c(""SUNS"", ""GIANTS""), c(""SUNS"", ""GIANTS"")",11,"CD_T130","St Kilda","STK","Saints","MEN",21,"CD_O27","St Kilda","Saints","Saints",10,"CD_T70","Geelong Cats","GEEL","Cats","MEN",15,"CD_O11","Geelong Cats","Cats","Cats",3,"CD_V190","Marvel Stadium","MRVL","Melbourne","VIC","Australia/Melbourne","Wurundjeri","https://www.ticketmaster.com.au/st-kilda-v-geelong-cats-docklands-22-03-2025/event/2500623787DF0901",2025
6983,"CD_M20250140206","2025-03-23T02:10:00.000+0000","SCHEDULED",73,"CD_S2025014","2025 Toyota AFL Premiership","Premiership",0,1148,"CD_R202501402","Rd 2","Round 2",2,"c(4, 15), c(""CD_T1000"", ""CD_T1010""), c(""Gold Coast SUNS"", ""GWS GIANTS""), c(""GCFC"", ""GWS""), c(""SUNS"", ""GIANTS""), c(""MEN"", ""MEN""), c(9, 5), c(""CD_O14"", ""CD_O16""), c(""Gold Coast SUNS"", ""GWS GIANTS""), c(""SUNS"", ""GIANTS""), c(""SUNS"", ""GIANTS"")",2,"CD_T20","Brisbane Lions","BL","Lions","MEN",13,"CD_O3","Brisbane Lions","Lions","Lions",18,"CD_T150","West Coast Eagles","WCE","Eagles","MEN",23,"CD_O30","West Coast Eagles","Eagles","Eagles",22,"CD_V20","Gabba","G","Brisbane","QLD","Australia/Brisbane","Yuggera - Toorabul","https://www.ticketmaster.com.au/brisbane-lions-v-west-coast-eagles-woolloongabba-23-03-2025/event/130062298EAB0FDA",2025
6986,"CD_M20250140207","2025-03-23T04:20:00.000+0000","SCHEDULED",73,"CD_S2025014","2025 Toyota AFL Premiership","Premiership",0,1148,"CD_R202501402","Rd 2","Round 2",2,"c(4, 15), c(""CD_T1000"", ""CD_T1010""), c(""Gold Coast SUNS"", ""GWS GIANTS""), c(""GCFC"", ""GWS""), c(""SUNS"", ""GIANTS""), c(""MEN"", ""MEN""), c(9, 5), c(""CD_O14"", ""CD_O16""), c(""Gold Coast SUNS"", ""GWS GIANTS""), c(""SUNS"", ""GIANTS""), c(""SUNS"", ""GIANTS"")",6,"CD_T100","North Melbourne","NMFC","Kangaroos","MEN",20,"CD_O20","North Melbourne","Kangaroos","Kangaroos",17,"CD_T90","Melbourne","MELB","Demons","MEN",14,"CD_O18","Melbourne","Demons","Demons",3,"CD_V190","Marvel Stadium","MRVL","Melbourne","VIC","Australia/Melbourne","Wurundjeri","https://www.ticketmaster.com.au/north-melbourne-v-melbourne-docklands-23-03-2025/event/25006234D24B423B",2025
6985,"CD_M20250140208","2025-03-23T07:10:00.000+0000","SCHEDULED",73,"CD_S2025014","2025 Toyota AFL Premiership","Premiership",0,1148,"CD_R202501402","Rd 2","Round 2",2,"c(4, 15), c(""CD_T1000"", ""CD_T1010""), c(""Gold Coast SUNS"", ""GWS GIANTS""), c(""GCFC"", ""GWS""), c(""SUNS"", ""GIANTS""), c(""MEN"", ""MEN""), c(9, 5), c(""CD_O14"", ""CD_O16""), c(""Gold Coast SUNS"", ""GWS GIANTS""), c(""SUNS"", ""GIANTS""), c(""SUNS"", ""GIANTS"")",14,"CD_T60","Fremantle","FRE","Dockers","MEN",6,"CD_O10","Fremantle","Dockers","Dockers",13,"CD_T160","Sydney Swans","SYD","Swans","MEN",24,"CD_O28","Sydney Swans","Swans","Swans",65,"CD_V2925","Optus Stadium","OS","Perth","WA","Australia/Perth","Whadjuk","https://www.ticketmaster.com.au/fremantle-dockers-v-sydney-swans-burswood-23-03-2025/event/2500624DD507186E",2025
6984,"CD_M20250140301","2025-03-27T08:30:00.000+0000","SCHEDULED",73,"CD_S2025014","2025 Toyota AFL Premiership","Premiership",0,1149,"CD_R202501403","Rd 3","Round 3",3,"c(2, 3, 10, 13), c(""CD_T20"", ""CD_T40"", ""CD_T70"", ""CD_T160""), c(""Brisbane Lions"", ""Collingwood"", ""Geelong Cats"", ""Sydney Swans""), c(""BL"", ""COLL"", ""GEEL"", ""SYD""), c(""Lions"", ""Magpies"", ""Cats"", ""Swans""), c(""MEN"", ""MEN"", ""MEN"", ""MEN""), c(13, 12, 15, 24), c(""CD_O3"", ""CD_O6"", ""CD_O11"", ""CD_O28""), c(""Brisbane Lions"", ""Collingwood"", ""Geelong Cats"", ""Sydney Swans""), c(""Lions"", ""Magpies"", ""Cats"", ""Swans""), c(""Lions"", ""Magpies"", ""Cats"", ""Swans"")",12,"CD_T50","Essendon","ESS","Bombers","MEN",10,"CD_O9","Essendon","Bombers","Bombers",7,"CD_T110","Port Adelaide","PORT","Power","MEN",19,"CD_O24","Port Adelaide","Power","Power",3,"CD_V190","Marvel Stadium","MRVL","Melbourne","VIC","Australia/Melbourne","Wurundjeri","https://www.ticketmaster.com.au/essendon-v-port-adelaide-docklands-27-03-2025/event/250062348BB809DB",2025
6988,"CD_M20250140302","2025-03-28T08:40:00.000+0000","SCHEDULED",73,"CD_S2025014","2025 Toyota AFL Premiership","Premiership",0,1149,"CD_R202501403","Rd 3","Round 3",3,"c(2, 3, 10, 13), c(""CD_T20"", ""CD_T40"", ""CD_T70"", ""CD_T160""), c(""Brisbane Lions"", ""Collingwood"", ""Geelong Cats"", ""Sydney Swans""), c(""BL"", ""COLL"", ""GEEL"", ""SYD""), c(""Lions"", ""Magpies"", ""Cats"", ""Swans""), c(""MEN"", ""MEN"", ""MEN"", ""MEN""), c(13, 12, 15, 24), c(""CD_O3"", ""CD_O6"", ""CD_O11"", ""CD_O28""), c(""Brisbane Lions"", ""Collingwood"", ""Geelong Cats"", ""Sydney Swans""), c(""Lions"", ""Magpies"", ""Cats"", ""Swans""), c(""Lions"", ""Magpies"", ""Cats"", ""Swans"")",5,"CD_T30","Carlton","CARL","Blues","MEN",1,"CD_O5","Carlton","Blues","Blues",8,"CD_T140","Western Bulldogs","WB","Bulldogs","MEN",25,"CD_O31","Western Bulldogs","Bulldogs","Bulldogs",3,"CD_V190","Marvel Stadium","MRVL","Melbourne","VIC","Australia/Melbourne","Wurundjeri","https://www.ticketmaster.com.au/carlton-v-western-bulldogs-docklands-28-03-2025/event/25006235D67E1CBA",2025
6987,"CD_M20250140303","2025-03-29T02:20:00.000+0000","SCHEDULED",73,"CD_S2025014","2025 Toyota AFL Premiership","Premiership",0,1149,"CD_R202501403","Rd 3","Round 3",3,"c(2, 3, 10, 13), c(""CD_T20"", ""CD_T40"", ""CD_T70"", ""CD_T160""), c(""Brisbane Lions"", ""Collingwood"", ""Geelong Cats"", ""Sydney Swans""), c(""BL"", ""COLL"", ""GEEL"", ""SYD""), c(""Lions"", ""Magpies"", ""Cats"", ""Swans""), c(""MEN"", ""MEN"", ""MEN"", ""MEN""), c(13, 12, 15, 24), c(""CD_O3"", ""CD_O6"", ""CD_O11"", ""CD_O28""), c(""Brisbane Lions"", ""Collingwood"", ""Geelong Cats"", ""Sydney Swans""), c(""Lions"", ""Magpies"", ""Cats"", ""Swans""), c(""Lions"", ""Magpies"", ""Cats"", ""Swans"")",17,"CD_T90","Melbourne","MELB","Demons","MEN",14,"CD_O18","Melbourne","Demons","Demons",4,"CD_T1000","Gold Coast SUNS","GCFC","SUNS","MEN",9,"CD_O14","Gold Coast SUNS","SUNS","SUNS",13,"CD_V40","MCG","MCG","Melbourne","VIC","Australia/Melbourne","Wurundjeri","https://hotshow4.ticketek.com.au/shows/show.aspx?sh=MELBO0325",2025
